Band,startDate,endDate,Vocals,Guitar,Keyboard,Synthesizer,Bass,Drums,Percussion,Backing Vocals,Rhythm Guitar
Muse,1994,,Matthew Bellamy,Matthew Bellamy,Matthew Bellamy,Matthew Bellamy,Christopher Wolstenholme,Dominic Howard,Dominic Howard,,
The Killers,2001,2002,Brandon Flowers,Dave Keunig,Dave Keunig,Brandon Flowers,Dell Neal,Matt Norcross,Brian Havens,,
The Killers,2002,,Brandon Flowers,Dave Keunig,Dave Keunig,Brandon Flowers,Mark Stoermer,Ronnie Vannuci Jr.,Ronnie Vannuci Jr.,,
Creedence Clearwater Revival,1967,1971,Jogn Fogerty,John Fogerty,John Fogerty,,Stu Cook,Doug Clifford,Doug Clifford,Tom Fogerty,Tom Fogerty
Creedence Clearwater Revival,1971,1972,Jogn Fogerty,John Fogerty,John Fogerty,,Stu Cook,Doug Clifford,Doug Clifford,Stu Cook,Stu Cook
AC/DC,1973,1975,Bon Scott,Angus Young,,,,,,Malcolm Young,Malcolm Young
AC/DC,1975,1977,Bon Scott,Angus Young,,,Mark Evans,Phil Rudd,,Malcolm Young,Malcolm Young
AC/DC,1977,1980,Bon Scott,Angus Young,,,Cliff Williams,Phil Rudd,,Malcolm Young,Malcolm Young
AC/DC,1980,1983,Brian Johnson,Angus Young,,,Cliff Williams,Phil Rudd,,Malcolm Young,Malcolm Young
AC/DC,1983,1989,Brian Johnson,Angus Young,,,Cliff Williams,Simon Wright,,Malcolm Young,Malcolm Young
AC/DC,1989,1994,Brian Johnson,Angus Young,,,Cliff Williams,Chris Slade,,Malcolm Young,Malcolm Young
AC/DC,1994,,Brian Johnson,Angus Young,,,Cliff Williams,Phil Rudd,,Malcolm Young,Malcolm Young
